Player,Team,threep,threes
Lance Stephenson,Pacers,0.316,15.83
John Henson,Bucks,0,0
Brandan Wright,Grizzlies,0,0.74
Alec Burks,Jazz,0.333,30.24
Raymond Felton,Clippers,0.338,26.56
Devin Harris,Mavericks,0.343,49.71
James Ennis,Grizzlies,0.37,42.06
Dwight Powell,Mavericks,0.288,19.41
PJ Tucker,Raptors,0.359,40.54
Marcus Thornton,Wizards,0.35,38.1
Kosta Koufos,Kings,0,0
Andre Roberson,Thunder,0.247,39.31
Jaylen Brown,Celtics,0.351,31.26
Michael Carter-Williams,Bulls,0.234,20.92
Dante Cunningham,Pelicans,0.387,50.42
Sam Dekker,Rockets,0.326,42.79
Amir Johnson,Celtics,0.409,17.89
Timothe Luwawu,76ers,0.314,44.41
Mirza Teletovic,Bucks,0.344,72.42
Darrell Arthur,Nuggets,0.453,54.42
Rodney McGruder,Heat,0.332,47.38
Kelly Oubre,Wizards,0.292,41.86
Kyle O'Quinn,Knicks,0.143,3.4
Mindaugas Kuzminskas,Knicks,0.321,45.65
Leandro Barbosa,Suns,0.357,24.94
Jonathan Gibson,Mavericks,0.341,46.32
Spencer Hawes,Bucks,0.313,28.99
Dante Exum,Jazz,0.299,40.38
Ramon Sessions,Hornets,0.339,23.57
Mike Muscala,Hawks,0.434,32.22
Nemanja Bjelica,Timberwolves,0.316,49.58
Trey Lyles,Jazz,0.322,46.12
Jonathon Simmons,Spurs,0.306,23.28
Chandler Parsons,Grizzlies,0.269,41.89
Troy Williams,Rockets,0.295,36.75
JaVale McGee,Warriors,0,0.63
Glenn Robinson,Pacers,0.4,36.98
Zaza Pachulia,Warriors,0,0
Derrick Williams,Cavaliers,0.313,39.51
Luc Mbah a Moute,Clippers,0.42,27.17
David Nwaba,Lakers,0.25,5
Jordan Farmar,Kings,0.444,75
Lance Thomas,Knicks,0.447,34.84
Alex Abrines,Thunder,0.381,71.76
Bismack Biyombo,Magic,0,0
Domantas Sabonis,Thunder,0.321,33.06
Andrew Harrison,Grizzlies,0.285,41.83
Quincy Acy,Nets,0.404,52.66
Jerian Grant,Bulls,0.368,44.19
Beno Udrih,Pistons,0.393,14.21
Tarik Black,Lakers,1,0.34
Jason Smith,Wizards,0.468,23.4
Taurean Prince,Hawks,0.327,35.31
Richard Jefferson,Cavaliers,0.332,53.8
Quinn Cook,Pelicans,0.423,40
Georgios Papagiannis,Kings,0,1.96
Boban Marjanovic,Pistons,0,0
Brandon Bass,Clippers,0.333,1.61
Ian Mahinmi,Wizards,0,0
Gerald Green,Celtics,0.365,45.81
Delon Wright,Raptors,0.333,26.09
Terry Rozier,Celtics,0.324,42.72
Anthony Morrow,Bulls,0.306,53.39
Jerami Grant,Thunder,0.368,35.67
Paul Zipser,Bulls,0.34,43.89
Meyers Leonard,Trail Blazers,0.349,55.94
Malcolm Delaney,Hawks,0.223,27.39
Joffrey Lauvergne,Bulls,0.34,28.96
Alexis Ajinca,Pelicans,0,2.25
Chasson Randle,Knicks,0.34,47.96
Willie Reed,Heat,0.2,1.75
"Derrick Jones, Jr.",Suns,0.273,9.17
Mike Dunleavy,Hawks,0.392,60.19
Omri Casspi,Timberwolves,0.349,26.06
Randy Foye,Nets,0.335,60.8
Cameron Payne,Bulls,0.318,44.04
Hollis Thompson,Pelicans,0.337,47.5
Shaun Livingston,Warriors,1,0.32
Cheick Diallo,Pelicans,0,1.32
Luis Scola,Nets,0.34,32.89
Denzel Valentine,Bulls,0.353,71.88
Dewayne Dedmon,Spurs,0,0
Wayne Selden,Grizzlies,0.25,48.28
Joakim Noah,Knicks,0,0.5
Thomas Robinson,Lakers,0,0.51
Anthony Bennett,Nets,0.271,52.17
Trey Burke,Wizards,0.443,27.56
Aaron Brooks,Pacers,0.4,40.13
Juan Hernangomez,Nuggets,0.414,49.78
Mario Hezonja,Magic,0.307,42.42
Toney Douglas,Grizzlies,0.179,33.33
Tiago Splitter,76ers,0.333,19.35
Aron Baynes,Pistons,0,0
Josh McRoberts,Heat,0.419,26.5
Jarell Eddie,Suns,0.25,84.21
Cristiano Felicio,Bulls,0,0
Luke Babbitt,Heat,0.414,74.73
Kevin Seraphin,Pacers,0,1.01
David West,Warriors,0.429,2.78
Isaiah Canaan,Bulls,0.266,54.34
Boris Diaw,Jazz,0.247,24.77
Roy Hibbert,Nuggets,0,0
Kris Humphries,Hawks,0.352,25.23
Reggie Bullock,Pistons,0.384,57.03
CJ Watson,Magic,0.308,41.94
Corey Brewer,Lakers,0.241,32.28
Davis Bertans,Spurs,0.401,73.5
Reggie Williams,Pelicans,0.455,47.83
Jarrod Uthoff,Mavericks,0.333,23.68
Lucas Nogueira,Raptors,0.3,6.41
Noah Vonleh,Trail Blazers,0.316,7.06
Donatas Motiejunas,Pelicans,0.234,34.06
Stanley Johnson,Pistons,0.291,41.48
Pierre Jackson,Mavericks,0.273,28.21
Jordan McRae,Cavaliers,0.367,32.67
Ed Davis,Trail Blazers,0,0
Dorian Finney-Smith,Mavericks,0.298,56.29
Tyler Ennis,Lakers,0.391,33.17
KJ McDaniels,Nets,0.299,39.41
Brandon Rush,Timberwolves,0.386,60.64
Pascal Siakam,Raptors,0.167,2.94
Jason Terry,Bucks,0.426,70.12
Ron Baker,Knicks,0.272,37.5
Shabazz Napier,Trail Blazers,0.362,50.81
Quincy Acy,Nets,1,100
Edy Tavares,Cavaliers,0,0
Justin Harper,76ers,0.286,58.33
Patrick McCaw,Warriors,0.333,50.2
Thon Maker,Bucks,0.361,40.22
